Data Movimento;Banco;Historico;Valor
03/01/2019;ITAU;CXE SAQUE INSS;180,00 D
01/02/2019;ITAU;PGTO INSS;998,00 C
01/02/2019;ITAU;CXE SAQUE INSS;950,00 D
01/03/2019;ITAU;PGTO INSS;998,00 C
04/03/2019;ITAU;CXE SAQUE INSS;500,00 D
04/03/2019;ITAU;CXE SAQUE INSS;480,00 D
02/04/2019;ITAU;PGTO INSS;998,00 C
03/04/2019;ITAU;CXE SAQUE INSS;990,00 D
02/05/2019;ITAU;PGTO INSS;998,00 C
03/05/2019;ITAU;CXE SAQUE INSS;800,00 D
03/05/2019;ITAU;CXE SAQUE INSS;190,00 D
03/06/2019;ITAU;PGTO INSS;998,00 C
04/06/2019;ITAU;CXE SAQUE INSS;980,00 D
02/07/2019;ITAU;PGTO INSS;998,00 C
02/07/2019;ITAU;CXE SAQUE INSS;990,00 D
02/08/2019;ITAU;PGTO INSS;998,00 C
05/08/2019;ITAU;CXE SAQUE INSS;980,00 D
02/09/2019;ITAU;PGTO INSS;1.497,00 C
03/09/2019;ITAU;CXE SAQUE INSS;1.000,00 D
03/09/2019;ITAU;CXE SAQUE INSS;490,00 D
02/10/2019;ITAU;PGTO INSS;998,00 C
03/10/2019;ITAU;CXE SAQUE INSS;990,00 D
01/11/2019;ITAU;PGTO INSS;998,00 C
04/11/2019;ITAU;CXE SAQUE INSS;990,00 D
02/12/2019;ITAU;PGTO INSS;1.497,00 C
03/12/2019;ITAU;CXE SAQUE INSS;1.000,00 D
03/12/2019;ITAU;CXE SAQUE INSS;490,00 D
03/01/2020;ITAU;PGTO INSS;1.039,00 C
06/01/2020;ITAU;SAQUE 24H;1.000,00 D
03/02/2020;ITAU;PGTO INSS;1.045,00 C
04/02/2020;ITAU;SAQUE 24H;1.000,00 D
03/03/2020;ITAU;PGTO INSS;1.045,00 C
04/03/2020;ITAU;SAQUE 24H;1.040,00 D
02/04/2020;ITAU;PGTO INSS;1.045,00 C
03/04/2020;ITAU;SAQUE 24H;1.000,00 D
04/05/2020;ITAU;PGTO INSS;1.045,00 C
05/05/2020;ITAU;SAQUE 24H;1.040,00 D
02/06/2020;ITAU;PGTO INSS;1.045,00 C
03/06/2020;ITAU;SAQUE 24H;1.040,00 D
02/07/2020;ITAU;PGTO INSS;1.045,00 C
03/07/2020;ITAU;SAQUE 24H;1.040,00 D
04/08/2020;ITAU;PGTO INSS;1.045,00 C
05/08/2020;ITAU;SAQUE 24H;1.040,00 D
02/09/2020;ITAU;PGTO INSS;1.567,50 C
03/09/2020;ITAU;SAQUE 24H;1.000,00 D
03/09/2020;ITAU;SAQUE 24H;560,00 D
02/10/2020;ITAU;PGTO INSS;1.045,00 C
05/10/2020;ITAU;SAQUE 24H;1.040,00 D
04/11/2020;ITAU;PGTO INSS;1.045,00 C
05/11/2020;ITAU;SAQUE 24H;1.040,00 D
02/12/2020;ITAU;PGTO INSS;1.567,50 C
03/12/2020;ITAU;SAQUE 24H;1.000,00 D
03/12/2020;ITAU;SAQUE 24H;560,00 D
04/01/2021;ITAU;PGTO INSS;1.100,00 C
05/01/2021;ITAU;SAQUE 24H;1.000,00 D
05/01/2021;ITAU;SAQUE 24H;100,00 D
02/02/2021;ITAU;PGTO INSS;1.100,00 C
03/02/2021;ITAU;SAQUE 24H;1.100,00 D
02/03/2021;ITAU;PGTO INSS;1.100,00 C
03/03/2021;ITAU;SAQUE 24H;1.100,00 D
05/04/2021;ITAU;PGTO INSS;1.100,00 C
06/04/2021;ITAU;SAQUE 24H;1.100,00 D
04/05/2021;ITAU;PGTO INSS;1.100,00 C
05/05/2021;ITAU;SAQUE 24H;1.100,00 D
02/06/2021;ITAU;PGTO INSS;1.650,00 C
04/06/2021;ITAU;SAQUE 24H;1.000,00 D
04/06/2021;ITAU;SAQUE 24H;650,00 D
02/07/2021;ITAU;PGTO INSS;1.100,00 C
05/07/2021;ITAU;SAQUE 24H;1.100,00 D
03/08/2021;ITAU;PGTO INSS;1.100,00 C
04/08/2021;ITAU;SAQUE 24H;1.100,00 D
02/09/2021;ITAU;PGTO INSS;1.100,00 C
03/09/2021;ITAU;SAQUE 24H;1.100,00 D
04/10/2021;ITAU;PGTO INSS;1.100,00 C
05/10/2021;ITAU;SAQUE 24H;1.100,00 D
04/11/2021;ITAU;PGTO INSS;1.100,00 C
05/11/2021;ITAU;SAQUE 24H;1.100,00 D
02/12/2021;ITAU;PGTO INSS;1.650,00 C
03/12/2021;ITAU;SAQUE 24H;1.000,00 D
03/12/2021;ITAU;SAQUE 24H;600,00 D
04/01/2022;ITAU;PGTO INSS;1.212,00 C
05/01/2022;ITAU;SAQUE 24H;1.200,00 D
03/02/2022;ITAU;PGTO INSS;1.212,00 C
04/02/2022;ITAU;SAQUE 24H;1.200,00 D
03/03/2022;ITAU;PGTO INSS;1.212,00 C
04/03/2022;ITAU;SAQUE 24H;1.200,00 D
04/04/2022;ITAU;PGTO INSS;1.212,00 C
05/04/2022;ITAU;SAQUE 24H;1.200,00 D
03/05/2022;ITAU;PGTO INSS;1.818,00 C
04/05/2022;ITAU;SAQUE 24H;1.000,00 D
04/05/2022;ITAU;SAQUE 24H;800,00 D
02/06/2022;ITAU;PGTO INSS;1.212,00 C
03/06/2022;ITAU;SAQUE 24H;1.200,00 D
04/07/2022;ITAU;PGTO INSS;1.212,00 C
05/07/2022;ITAU;SAQUE 24H;1.200,00 D
02/08/2022;ITAU;PGTO INSS;1.212,00 C
03/08/2022;ITAU;SAQUE 24H;1.200,00 D
02/09/2022;ITAU;PGTO INSS;1.212,00 C
05/09/2022;ITAU;SAQUE 24H;1.200,00 D
04/10/2022;ITAU;PGTO INSS;1.212,00 C
05/10/2022;ITAU;SAQUE 24H;1.200,00 D
03/11/2022;ITAU;PGTO INSS;1.212,00 C
04/11/2022;ITAU;SAQUE 24H;1.200,00 D
02/12/2022;ITAU;PGTO INSS;1.818,00 C
05/12/2022;ITAU;SAQUE 24H;1.000,00 D
05/12/2022;ITAU;SAQUE 24H;800,00 D
03/01/2023;ITAU;PGTO INSS;1.302,00 C
04/01/2023;ITAU;SAQUE 24H;1.300,00 D
02/02/2023;ITAU;PGTO INSS;1.302,00 C
03/02/2023;ITAU;SAQUE 24H;1.300,00 D
02/03/2023;ITAU;PGTO INSS;1.302,00 C
03/03/2023;ITAU;SAQUE 24H;1.300,00 D
04/04/2023;ITAU;PGTO INSS;1.302,00 C
05/04/2023;ITAU;SAQUE 24H;1.300,00 D
03/05/2023;ITAU;PGTO INSS;1.320,00 C
04/05/2023;ITAU;SAQUE 24H;1.300,00 D
02/06/2023;ITAU;PGTO INSS;1.980,00 C
05/06/2023;ITAU;SAQUE 24H;1.000,00 D
05/06/2023;ITAU;SAQUE 24H;900,00 D
04/07/2023;ITAU;PGTO INSS;1.320,00 C
05/07/2023;ITAU;SAQUE 24H;1.300,00 D
01/08/2023;ITAU;PGTO INSS;1.320,00 C
01/08/2023;ITAU;SAQUE 24H;1.000,00 D
01/08/2023;ITAU;SAQUE 24H;320,00 D
04/09/2023;ITAU;PGTO INSS;1.320,00 C
05/09/2023;ITAU;SAQUE 24H;1.300,00 D
03/10/2023;ITAU;PGTO INSS;1.320,00 C
04/10/2023;ITAU;SAQUE 24H;1.300,00 D
03/11/2023;ITAU;PGTO INSS;1.320,00 C
06/11/2023;ITAU;SAQUE 24H;1.000,00 D
06/11/2023;ITAU;SAQUE 24H;320,00 D
04/12/2023;ITAU;PGTO INSS;1.320,00 C
05/12/2023;ITAU;SAQUE 24H;1.000,00 D
05/12/2023;ITAU;SAQUE 24H;320,00 D
