Data Movimento;Banco;Historico;Valor
20/03/2019;CAIXA;SAQUE ATM;1.500,00 D
26/03/2019;CAIXA;SAQUE ATM;1.500,00 D
27/03/2019;CAIXA;SAQUE ATM;1.500,00 D
29/03/2019;CAIXA;SAQUE ATM;1.500,00 D
01/04/2019;CAIXA;CT SALARIO;7.822,77 C
03/04/2019;CAIXA;SAQUE ATM;1.500,00 D
03/04/2019;CAIXA;PAG BOLETO;1.444,94 D
29/04/2019;CAIXA;SAQUE ATM;1.500,00 D
02/05/2019;CAIXA;CT SALARIO;7.822,77 C
02/05/2019;CAIXA;SAQUE ATM;1.500,00 D
03/05/2019;CAIXA;SAQUE ATM;1.500,00 D
03/05/2019;CAIXA;PAG BOLETO;1.444,94 D
06/05/2019;CAIXA;CP MAESTRO;721,22 D
08/05/2019;CAIXA;SAQUE ATM;1.500,00 D
14/05/2019;CAIXA;SAQUE ATM;500,00 D
29/05/2019;CAIXA;SAQUE B24H;1.500,00 D
30/05/2019;CAIXA;SAQUE ATM;1.500,00 D
30/05/2019;CAIXA;CP MAESTRO;481,77 D
03/06/2019;CAIXA;CT SALARIO;7.824,96 C
03/06/2019;CAIXA;PAG BOLETO;1.444,94 D
14/06/2019;CAIXA;DOC-IR;4.472,97 C
28/06/2019;CAIXA;SAQUE B24H;1.500,00 D
01/07/2019;CAIXA;CT SALARIO;12.281,51 C
02/07/2019;CAIXA;SAQUE ATM;1.500,00 D
02/07/2019;CAIXA;PAG BOLETO;1.482,74 D
10/07/2019;CAIXA;SAQUE ATM;1.500,00 D
15/07/2019;CAIXA;SAQUE ATM;1.500,00 D
18/07/2019;CAIXA;APLICACAO;10.000,00 D
24/07/2019;CAIXA;RESG POUP;43.000,00 C
24/07/2019;CAIXA;ENVIO TEV;45.000,00 D
01/08/2019;CAIXA;CT SALARIO;7.824,96 C
01/08/2019;CAIXA;SAQUE ATM;1.500,00 D
02/08/2019;CAIXA;CP MAESTRO;621,32 D
02/08/2019;CAIXA;CP MAESTRO;451,10 D
05/08/2019;CAIXA;SAQUE ATM;1.500,00 D
05/08/2019;CAIXA;PAG BOLETO;1.444,94 D
06/08/2019;CAIXA;ENVIO TEV;3.000,00 D
